User,Item,Score
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.4
0,5,0.6
0,6,0.8
0,7,0.2
0,8,0.2
0,9,0.2
0,10,0.2
0,11,0.2
0,12,0.2
0,13,0.2
0,14,1.0
0,15,1.0
0,16,0.6
0,17,1.0
0,18,1.0
0,19,1.0
0,20,1.0
0,21,0.6
0,22,0.6
0,23,0.8
0,24,0.0
0,25,0.4
0,26,1.0
0,27,0.6
0,28,0.8
0,29,0.8
0,30,1.0
0,31,1.0
0,32,0.2
0,33,0.2
0,34,0.0
0,35,0.4
0,36,0.0
0,37,0.8
1,0,0.8
1,1,0.0
1,2,1.0
1,3,1.0
1,4,0.0
1,5,1.0
1,6,1.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,1.0
1,12,1.0
1,13,1.0
1,38,0.0
1,14,0.0
1,15,1.0
1,16,0.0
1,17,1.0
1,18,1.0
1,19,1.0
1,20,1.0
1,21,1.0
1,22,1.0
1,23,1.0
1,24,1.0
1,25,1.0
1,26,0.8
1,27,0.6
1,28,1.0
1,29,1.0
1,30,0.0
1,31,1.0
1,32,0.6
1,33,0.0
1,34,0.0
1,35,1.0
1,36,0.0
1,37,0.0
2,0,0.2
2,1,0.2
2,2,0.6
2,4,0.8
2,5,1.0
2,6,1.0
2,7,0.6
2,8,0.6
2,9,1.0
2,10,0.6
2,11,0.4
2,12,0.6
2,13,0.6
2,38,0.0
2,14,0.2
2,15,0.4
2,16,0.0
2,17,1.0
2,18,1.0
2,19,1.0
2,20,0.6
2,21,0.8
2,22,0.8
2,23,0.0
2,24,0.6
2,25,0.6
2,26,0.8
2,27,0.8
2,28,1.0
2,29,1.0
2,30,0.6
2,31,0.4
2,32,1.0
2,33,1.0
2,34,0.0
2,35,0.6
2,36,1.0
2,37,1.0
3,1,0.4
3,2,0.8
3,4,0.8
3,5,0.2
3,6,0.6
3,7,0.6
3,8,0.8
3,9,1.0
3,11,0.6
3,12,0.2
3,13,0.2
3,38,1.0
3,14,0.6
3,15,0.4
3,16,0.2
3,17,0.8
3,18,0.8
3,19,0.8
3,20,0.8
3,21,0.6
3,22,0.6
3,23,0.8
3,24,0.0
3,25,0.6
3,26,0.8
3,27,0.8
3,28,0.8
3,29,0.8
3,30,0.8
3,31,0.8
3,32,0.8
3,33,0.8
3,34,0.2
3,35,0.2
3,36,0.4
3,37,0.8
4,0,0.8
4,1,0.2
4,2,0.8
4,4,0.8
4,5,0.8
4,6,1.0
4,7,0.8
4,8,0.8
4,9,0.2
4,10,0.8
4,11,0.2
4,12,1.0
4,13,1.0
4,38,0.8
4,14,0.8
4,15,0.6
4,16,0.8
4,17,0.8
4,18,0.8
4,19,0.4
4,20,0.6
4,21,0.8
4,22,0.8
4,23,0.2
4,24,0.8
4,25,1.0
4,26,0.8
4,27,1.0
4,28,1.0
4,29,1.0
4,30,0.8
4,31,0.6
4,32,0.8
4,33,1.0
4,34,0.6
4,35,0.8
4,36,1.0
4,37,0.8
5,0,0.8
5,1,0.4
5,2,0.8
5,4,1.0
5,5,0.8
5,6,1.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.4
5,11,0.2
5,12,0.4
5,13,0.4
5,38,1.0
5,14,0.2
5,15,1.0
5,16,0.2
5,17,1.0
5,18,1.0
5,19,1.0
5,20,0.8
5,21,1.0
5,22,0.8
5,23,0.6
5,24,0.8
5,25,1.0
5,26,1.0
5,27,0.6
5,28,1.0
5,29,1.0
5,30,1.0
5,31,0.8
5,32,1.0
5,33,1.0
5,34,0.0
5,35,0.0
5,36,0.4
5,37,0.6
6,0,1.0
6,1,1.0
6,2,0.6
6,3,0.6
6,4,0.8
6,5,0.8
6,6,1.0
6,7,0.6
6,8,0.6
6,9,1.0
6,10,1.0
6,12,1.0
6,13,1.0
6,38,0.8
6,14,0.6
6,15,0.8
6,16,0.2
6,17,0.6
6,18,0.6
6,19,0.4
6,20,0.4
6,21,0.6
6,22,0.8
6,23,0.2
6,24,1.0
6,25,1.0
6,26,1.0
6,27,0.6
6,28,1.0
6,29,0.8
6,30,0.8
6,31,0.8
6,32,1.0
6,33,1.0
6,34,0.2
6,35,0.6
6,36,1.0
6,37,1.0
7,0,0.6
7,1,0.6
7,2,1.0
7,4,0.2
7,5,1.0
7,6,1.0
7,7,0.6
7,8,0.6
7,9,1.0
7,10,0.6
7,38,0.2
7,14,0.2
7,15,0.6
7,16,0.4
7,17,1.0
7,18,1.0
7,19,1.0
7,20,0.6
7,21,1.0
7,22,0.8
7,23,0.2
7,24,0.6
7,25,0.8
7,26,0.8
7,27,0.6
7,28,0.6
7,29,0.8
7,30,0.6
7,31,1.0
7,32,1.0
7,33,1.0
7,34,0.6
7,35,0.6
7,36,0.6
7,37,1.0
8,0,0.0
8,1,0.0
8,2,0.6
8,3,0.0
8,4,0.6
8,5,0.6
8,6,0.8
8,7,0.8
8,8,1.0
8,9,1.0
8,10,0.6
8,11,0.6
8,12,0.8
8,13,0.8
8,38,0.4
8,14,0.8
8,15,1.0
8,16,0.4
8,17,0.6
8,18,0.6
8,19,0.6
8,20,0.6
8,21,0.6
8,22,0.6
8,23,0.6
8,24,0.6
8,25,0.8
8,26,0.4
8,27,1.0
8,28,1.0
8,29,1.0
8,30,0.8
8,31,1.0
8,32,1.0
8,33,1.0
8,34,0.4
8,35,1.0
8,36,1.0
8,37,1.0
9,0,0.4
9,1,0.2
9,2,0.6
9,3,0.6
9,4,1.0
9,5,1.0
9,6,1.0
9,7,0.8
9,8,0.8
9,9,0.8
9,10,0.8
9,11,0.2
9,12,1.0
9,16,0.0
9,17,1.0
9,18,1.0
9,19,1.0
9,20,1.0
9,21,0.8
9,22,1.0
9,23,0.6
9,24,0.4
9,25,1.0
9,26,0.8
9,27,1.0
9,28,0.8
9,29,0.8
9,30,1.0
9,31,1.0
9,32,0.8
9,33,1.0
9,34,0.0
9,35,1.0
9,36,0.8
9,37,0.8
10,0,0.8
10,1,0.4
10,2,0.4
10,3,1.0
10,4,0.8
10,5,1.0
10,6,1.0
10,7,0.6
10,8,0.6
10,9,1.0
10,10,0.6
10,11,0.2
10,12,0.8
10,13,1.0
10,38,0.8
10,14,1.0
10,15,0.8
10,16,0.6
10,17,1.0
10,18,1.0
10,19,1.0
10,20,0.8
10,21,1.0
10,22,0.6
10,23,1.0
10,24,0.8
10,25,1.0
10,26,1.0
10,27,0.6
10,28,1.0
10,29,1.0
10,30,0.8
10,31,1.0
10,32,0.4
10,33,1.0
10,34,0.2
10,35,0.8
10,36,0.2
10,37,0.6
11,0,0.0
11,1,0.0
11,2,1.0
11,4,0.8
11,5,0.6
11,6,1.0
11,7,0.8
11,8,1.0
11,9,1.0
11,11,1.0
11,12,1.0
11,13,1.0
11,38,1.0
11,14,1.0
11,15,0.8
11,16,0.0
11,17,0.6
11,18,0.6
11,19,0.6
11,20,0.8
11,21,0.8
11,22,0.8
11,23,0.0
11,24,0.4
11,25,0.2
11,26,0.8
11,27,0.8
11,28,0.8
11,29,0.8
11,30,0.8
11,31,0.6
11,32,0.8
11,33,0.8
11,34,1.0
11,35,0.0
11,36,1.0
11,37,1.0
12,2,1.0
12,4,0.2
12,5,0.6
12,6,1.0
12,7,0.2
12,8,0.2
12,9,0.2
12,10,0.0
12,11,0.0
12,12,1.0
12,13,1.0
12,38,0.0
12,14,0.0
12,15,0.8
12,16,0.2
12,17,0.4
12,18,1.0
12,19,1.0
12,20,1.0
12,21,1.0
12,22,1.0
12,23,0.0
12,24,1.0
12,25,0.0
12,26,1.0
12,27,1.0
12,28,1.0
12,29,0.6
